teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
10532,French Guiana,French Guiana,GUF,French Guiana,French Guiana,D20300,0033a0,https://a.espncdn.com/i/teamlogos/soccer/500/10532.png,0,fgu
10596,St. Martin,St. Martin,SMN,St. Martin,St. Martin,0033a0,000000,https://a.espncdn.com/i/teamlogos/countries/500/stm.png,0,stm
10597,Jong Ajax,Jong Ajax,JAJ,Jong Ajax,Jong Ajax,DF1B27,6ab4c9,https://a.espncdn.com/i/teamlogos/soccer/500/10597.png,5226,ned.jong_ajax
10605,Bonnyrigg Rose,Bonnyrigg Rose,BON,Bonnyrigg Rose,Bonnyrigg,000000,C60000,,6915,sco.bonnyrigg_rose
10627,Marbella FC,Marbella FC,MAR,Marbella FC,Marbella,000000,C60000,,0,esp.ud_marbella
10629,Cultural Leonesa,Cultural Leonesa,CLE,Cultural Leonesa,Leonesa,000000,C60000,,6850,esp.cultural_leonesa
10739,Philadelphia Union,Philadelphia Union,PHI,Philadelphia Union,Philadelphia,051f31,e0d0a6,https://a.espncdn.com/i/teamlogos/soccer/500/10739.png,4061,usa.philadelphia
11017,SSV Jahn Regensburg,SSV Jahn Regensburg,REG,SSV Jahn Regensburg,J Regensburg,ce1b0e,f9f9f9,https://a.espncdn.com/i/teamlogos/soccer/500/11017.png,6671,ger.ssv_jahn_regensburg
11143,Melbourne City FC,Melbourne City FC,MCY,Melbourne City FC,Melbourne City,87cefa,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500/11143.png,5571,aus.melbourne_heart
11170,VV Katwijk,VV Katwijk,KAT,VV Katwijk,Katwijk,F7AA25,000000,https://a.espncdn.com/i/teamlogos/soccer/500/11170.png,6868,ned.katwijk
11268,São Bernardo,São Bernardo,BER,São Bernardo,São Bernardo,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11268.png,5479,bra.sao_bernardo
11324,Unión Comercio,Unión Comercio,UCR,Unión Comercio,Unión Comercio,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11324.png,9474,per.unin_comercio
11336,Krasnodar,Krasnodar,FCK,Krasnodar,Krasnodar,03501b,eaeaea,https://a.espncdn.com/i/teamlogos/soccer/500/11336.png,6894,krasnodar
11337,Colombia,Colombia,COL,Colombia,Colombia,fbd632,21418c,https://a.espncdn.com/i/teamlogos/countries/500/col.png,10141,col.w
11420,RB Leipzig,RB Leipzig,RBL,RB Leipzig,RB Leipzig,ffffff,740c14,https://a.espncdn.com/i/teamlogos/soccer/500/11420.png,4237,ger.rb_leipzig
11429,Samsunspor,Samsunspor,SAM,Samsunspor,Samsunspor,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11429.png,9567,tur.samsunspor
11505,Jagiellonia Bialystok,Jagiellonia Bialystok,JAG,Jagiellonia Bialystok,Jagiellonia ,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11505.png,0,uefa.jagiellonia_bialystok
11678,Curacao,Curacao,CUR,Curacao,Curacao,0537e4,000000,https://a.espncdn.com/i/teamlogos/soccer/500/11678.png,0,fifa.curacao
11706,Viktoria Plzen,Viktoria Plzen,PLZ,Viktoria Plzen,Viktoria Plzen,0000dd,000000,https://a.espncdn.com/i/teamlogos/soccer/500/11706.png,0,cze.viktoria_plzen
11766,Puerto Rico,Puerto Rico,PUR,Puerto Rico,Puerto Rico,0537e4,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11766.png,0,ita.puerto_rico
11989,Central Córdoba (Santiago del Estero),Central Córdoba (Santiago del Estero),CTR,Central Córdoba (Santiago del Estero),C. Córdoba (SE),000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11989.png,6075,arg.ctral._crdoba_se
11995,Cusco FC,Cusco FC,CFC,Cusco FC,Cusco FC,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/11995.png,5409,per.cusco_fc
12011,Orlando City SC,Orlando City SC,ORL,Orlando City SC,Orlando,60269e,f0d283,https://a.espncdn.com/i/teamlogos/soccer/500/12011.png,3224,usa.orlando_city_sc
12030,Rigas Futbola Skola,Rigas Futbola Skola,RFS,Rigas Futbola Skola,RFS,0000dd,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/12030.png,0,esp.rigas_futbola_skola
12124,FC Astana,FC Astana,AST,FC Astana,FC Astana,ffff00,0000ff,https://a.espncdn.com/i/teamlogos/soccer/500/12124.png,0,esp.astana_1964
12215,Santa Clara,Santa Clara,SCL,Santa Clara,Santa Clara,C60000,ddbf64,https://a.espncdn.com/i/teamlogos/soccer/500/12215.png,7864,fifa.santa_clara
12216,Estoril,Estoril,EST,Estoril,Estoril,ffea01,293dc2,https://a.espncdn.com/i/teamlogos/soccer/500/12216.png,4952,por.estoril
12498,Vejle Boldklub,Vejle Boldklub,VEJ,Vejle Boldklub,Vejle,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/12498.png,2807,ger.vejle_bk
12597,Burgos,Burgos,BUR,Burgos,Burgos,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/12597.png,8558,eng.burgos_cf
